0.6,Global online education is a key to democratizing access to learning and overcoming societal ills such as poverty ,OpEd Columnist Revolution Hits the Universities
2.4,Hollywood Accepts Chinese Censorship (Will Movies Get Any Better),In Hollywood Movies for China Bureaucrats Want a Say
3.8,Bloomberg Assault weapon ban tough sell  Pub. enemies 1 and 2 according to minor mayor Big Gulps and guns. ocra,Bloomberg Assault weapons ban is tough sell
4.2,Car bomb detonates outside Afghan intelligence agency; casualty toll unclear.,Powerful Car Bomb Explodes Outside Afghan Intelligence Agency
4,Whats in Feinsteins gun bill    tgdn pjnet,Whats in Feinsteins bill
2.2,Linda Greenhouse Roe v. Wade was abt drs facing prosecution for acting in what they saw as patients best interests,Opinionator Misconceptions About Roe v. Wade
2,Special measures for Beijing polution,Smog cloud blankets Beijing
3.4,SYNTHAX_tERROR 2  "American Taliban" John Walker Lindh wins case over Muslim group prayer in prison,American Taliban wins right to group prayer
2.8,The questions Oprah shouldve asked Lance Amstrong,Hard Questions for Lance Armstrong
3,Cc   At least 90 killed in Brazil nightclub fire ",Hundreds killed in Brazil nightclub fire
0.8,Not a tear here Red Brigades jagoff dies year older than me fuck him,Prospero Gallinari a Terrorist Is Dead at 62
1,so many places to go ,The 46 Places to Go in 2013
4.2,As California Bounces Back Governor Calls For Lofty Goals,With California Rebounding Governor Pushes Big Projects
4.2,NYTimes Leishmaniasis A Genetic Link Found in FarFlung Victims of a Lethal Form of a Parasitic Disease,Global Update A Genetic Link Found for Victims of Lethal Form of Leishmaniasis
4.4,Jesus  At least 245 dead as fire sweeps through nightclub in Brazil.,Scores Dead as Fire Sweeps Through Nightclub in Brazil
0.4,So the company mad isnt this what most companies are doing,U.S. man outsources job to China surfs cat videos
1.6,Taking Aim  Stopgunviolence Congress NRA,Obama Gun Policy and the N.R.A.
4,NRA releases target shooting app hmm wait a sec ,NRA draws heat for shooting game
4.8,Broken limbs torn lives in northern Mali Africa conflict humanrights,Broken limbs torn lives in Mali
3,slams guest over AR15s,Piers guest clash over AR15s
3.2,A truckload of flaming brown cheese closed a road tunnel in Arctic Norway for the last six days.,World Briefing | Europe Norway Cheese Fire Shuts Tunnel
2,Sex abuse common but so is our inability to face road range of behaviors common to humans A Pedophile in Plain Sight,Opinion At Poly Prep a Pedophile in Plain Sight
3.2,Death toll climbs to 220 in Brazil nightclub fire official says.,Hundreds killed in Brazil nightclub fire
3.8,(I love him) 10 reasons we cant get enough Gosling ,Why we cant get enough Gosling (Duh)
3.6,U.S. withdrawal is tough love for Afghans,U.S. tough love for Afghan troops
1.5,NYTimes Andrew Revkin on next steps for China in cleaning up pollution.,Charting a PostPollution Path for Cities  From London 1952 through Beijing 2013
